province;red;green;blue;x;x
1;4;100;255;;Land of Always Winter
2;152;118;64;;Thenn
3;133;102;0;;Northern Frostfangs
4;131;78;192;;The Frozen Shore
5;35;144;192;;Skirling Pass
6;24;116;0;;Shivering Forest
7;151;110;128;;Ice Bay Shore
8;152;114;255;;Central Frostfangs
9;24;112;192;;Fist of the First Men
10;163;146;255;;Antler Vale
11;23;108;64;;Crasters Keep
12;151;106;0;;Whitetree
13;1;52;0;;The Haunted Forest
14;23;104;255;;Hardhome
15;35;148;0;;The Gorge
16;5;108;192;;Shadow Tower
17;133;110;255;;Castle Black
18;5;112;0;;Eastwatch
19;156;42;128;;Brandons Gift
20;133;114;64;;New Gift
21;0;36;128;;Crow's Edge
22;163;150;64;;Arrendell
23;36;152;128;;Pinesend
24;164;154;192;;Shadowmoor
25;134;118;192;;Last Hearth
26;27;36;255;;Seal Shore
27;6;116;128;Great Sept of Baelor
28;155;38;0;;Last River
29;6;120;255;;Karhold
30;128;34;64;;Deepdown
31;24;120;128;;Kingshouse
32;152;122;192;;Driftwood Hall
33;0;44;64;;Bear Island
34;134;126;128;;Sea Dragon Point
35;6;124;64;;Deepwood
36;135;142;0;;Blue Hills
37;26;152;192;;Blackgrove
38;135;130;255;;King's Grove
39;164;34;128;;Wolfswood
40;4;88;192;;Stoney Shore
41;155;154;255;;The Rills
42;165;42;64;;Withered Heath
43;8;144;64;;Blazewater Coast
44;1;56;128;;Torrhens Square
45;165;38;255;;Goldgrass
46;136;146;128;;Barrowton
47;3;80;255;;Winterfell
48;36;32;64;;Acorn Grove
49;37;40;0;;Castle Cerwyn
50;134;122;0;;Lonely Hills
51;27;32;128;;Eastmelt
52;36;156;255;;Weeping Bay
53;129;54;64;;Dreadfort
54;7;132;0;;Dawnforest
55;42;120;0;;Sheepshead Hills
56;164;158;0;;Overton
57;36;36;192;;King's Course
58;155;34;192;;White Knife
59;27;156;0;;Ethering
60;135;134;64;;Hornwood
61;7;140;255;;Whitford
62;135;138;192;;White Harbor
63;7;136;128;;Ramsgate
64;6;128;192;;Widows Watch
65;132;90;255;;Oldcastle
66;129;58;192;;Moat Cailin
67;28;40;64;;Fever
68;8;148;192;;Greycrann
69;2;60;255;;Churwell
70;165;46;192;;Silvereed
71;8;156;128;;Greywater Watch
72;136;154;64;;Cape Kraken
73;136;150;255;;Flints Finger
74;8;152;0;;Flint Cliffs
75;37;48;255;;Mistlewood
76;137;158;192;;Cape of Eagles
77;9;32;255;;The Twins
78;9;36;64;;Freylands
79;137;34;0;;Seagard
80;165;50;0;;Rushmoor
81;137;38;128;;Oldstones
82;38;52;64;;Stillfen
83;166;54;128;;Erenford
84;139;70;192;;Wycombe
85;166;62;64;;Martlet Bay
86;28;52;128;;Gravesham
87;167;66;192;;Maidstone
88;38;64;128;;Blackrush
89;11;68;128;;Fairmarket
90;167;70;0;;Blackwood Vale
91;39;72;64;;Stone Hedge
92;38;56;192;;Blue Fork
93;166;58;255;;Red Fork
94;12;72;255;;Green Fork
95;38;60;0;;Chiltern
96;167;74;128;;Medway
97;140;74;0;;Harroways Town
98;12;76;64;;Saltpans
99;156;50;64;;Kanet
100;39;68;255;;Turnbridge
101;130;62;0;;Riverrun
102;156;46;255;;Branstone
103;167;78;255;;Lolliston
104;12;80;192;;High Heart
105;39;76;192;;Wayfarer's Rest
106;28;44;192;;Goodbrook
107;140;78;128;;Harrenhal
108;40;84;128;;Darry
109;141;90;192;;Maidenpool
110;12;84;0;;Pinkmaiden
111;140;82;255;;Acorn Hall
112;13;88;128;;Stoney Sept
113;28;248;0;;Willow Wood
114;40;80;0;;Atranta
115;157;54;192;;Shoreham
116;142;102;255;;Esgaroth
117;131;82;0;;Isle of Faces
118;24;124;255;;Longsister
119;153;126;0;;Sweetsister
120;25;128;64;;Littlesister
121;153;130;128;;Peeble
122;25;132;192;;The Paps
123;42;116;192;;Crow's Barrens
124;128;38;192;;Scorched Vale
125;137;42;255;;x
126;10;44;0;;Coldwater Burn
127;43;128;255;;Wycliffe
128;171;126;192;;Newton
129;170;118;255;;Moonsgrey
